month,sales_rep_id,rep_name,region,territory,manager_name,tenure_months,monthly_target,actual_sales_value,target_achievement_pct,visits_made,new_customers,returning_customers,active_status
01-01-2023,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,43,271326.6,218672.13,0.806,154,3,47,TRUE
01-02-2023,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,44,239405.83,292679.72,1.223,148,2,39,TRUE
01-03-2023,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,45,271326.6,297240.95,1.096,144,4,41,TRUE
01-04-2023,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,46,287286.99,236875.92,0.825,140,5,47,TRUE
01-05-2023,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,47,287286.99,220640.45,0.768,143,3,40,TRUE
01-06-2023,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,48,271326.6,253584.01,0.935,147,3,58,TRUE
01-07-2023,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,49,255366.22,262072.79,1.026,157,1,29,TRUE
01-08-2023,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,50,271326.6,261801.23,0.965,151,4,46,TRUE
01-09-2023,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,51,287286.99,221473.69,0.771,155,3,47,TRUE
01-10-2023,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,52,303247.38,282725.34,0.932,158,2,50,TRUE
01-11-2023,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,53,287286.99,349497.27,1.217,149,5,45,TRUE
01-12-2023,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,54,159603.88,197286.06,1.236,160,1,41,TRUE
01-01-2024,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,55,271326.6,208907.22,0.77,147,3,41,TRUE
01-02-2024,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,56,239405.83,222385.18,0.929,153,10,35,TRUE
01-03-2024,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,57,271326.6,296026.37,1.091,162,1,45,TRUE
01-04-2024,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,58,287286.99,311265.89,1.083,147,2,59,TRUE
01-05-2024,SR-NO01,Rehaan Nazareth,North,North-T1,Ojas Kapoor,59,287286.99,266268.88,0.927,168,5,40,TRUE
